Book Name,Author Name,Narrator Name,Book Size,Book Ratings
The Hidden Hindu, Akshat Gupta, Vivek Bhatia, 5 hrs and 36 mins,3.5 out of 5 stars
Change Your Brain Every Day, Daniel Amen, Jim Frangione, 15 hrs and 8 mins,Not rated yet
Outlive," Peter Attia, Bill Gifford", Peter Attia, 17 hrs and 8 mins,5 out of 5 stars
Energize Your Mind, Gaur Gopal Das, Gaur Gopal Das, 10 hrs and 20 mins,5 out of 5 stars
8 Rules of Love, Jay Shetty, Jay Shetty, 10 hrs and 10 mins,5 out of 5 stars
Doglapan, Ashneer Grover, Adwait Karambelkar, 6 hrs and 30 mins,5 out of 5 stars
Spare, Prince Harry The Duke of Sussex, Prince Harry The Duke of Sussex, 15 hrs and 37 mins,4 out of 5 stars
The Secret of the Nagas, Amish Tripathi, Manish Dongardive, 10 hrs and 9 mins,5 out of 5 stars
The Creative Act, Rick Rubin, Rick Rubin, 5 hrs and 44 mins,5 out of 5 stars
Haunting Adeline, H. D. Carlton," Teddy Hamilton, Michelle Sparks", 15 hrs and 44 mins,4.5 out of 5 stars
The 16 Undeniable Laws of Communication, John Maxwell, John Maxwell, 8 hrs and 57 mins,Not rated yet
War of Lanka, Amish Tripathi, Darrpan Mehta, 16 hrs and 20 mins,4.5 out of 5 stars
The Steal Like an Artist Audio Trilogy, Austin Kleon, Austin Kleon, 4 hrs and 32 mins,4.5 out of 5 stars
Sita: Warrior of Mithila, Amish, Sagar Arya, 11 hrs and 10 mins,4.5 out of 5 stars
The Light We Carry, Michelle Obama, Michelle Obama, 9 hrs and 59 mins,5 out of 5 stars
"Tomorrow, and Tomorrow, and Tomorrow", Gabrielle Zevin," Jennifer Kim, Julian Cihi", 13 hrs and 52 mins,4.5 out of 5 stars
The Immortals of Meluha, Amish Tripathi, Manish Dongardive, 11 hrs and 39 mins,5 out of 5 stars
Never Finished, David Goggins," David Goggins, Adam Skolnick, Jacqueline Gardner", 11 hrs and 6 mins,5 out of 5 stars
The Pathless Path, Paul Millerd, Paul Millerd, 6 hrs and 6 mins,Not rated yet
The Sex Book, Leeza Mangaldas, Leeza Mangaldas, 6 hrs and 33 mins,5 out of 5 stars
